province_code,province,region,lat,lon,date,year_month,commodity,price,price_source,price_14d_change,national_median_price,national_median_gap,price_zscore_past6,production_ton_year,population,rice_consumption_kg_capita_year,need_ton_year,surplus_proxy_ton,anomaly_score,deficit_score,surplus_score,monitoring_priority_proxy,priority_label
11,Aceh,Sumatra,5.55,95.32,2021-01-01,2021-01,Beras Medium,10967.0,Bapanas monthly consumer price,,10980.0,-0.0011839708561020013,,860000.0,5600000.0,81.23,454888.0,405112.0,0.0,0.0,0.3814408658863985,0.0,0
11,Aceh,Sumatra,5.55,95.32,2021-02-01,2021-02,Beras Medium,10873.0,Bapanas monthly consumer price,-0.00857116804960334,10912.0,-0.0035740469208210834,,860000.0,5600000.0,81.23,454888.0,405112.0,0.0,0.0,0.3814408658863985,0.0,0
11,Aceh,Sumatra,5.55,95.32,2021-03-01,2021-03,Beras Medium,10853.0,Bapanas monthly consumer price,-0.0018394187436769904,10888.5,-0.003260320521651261,,860000.0,5600000.0,81.23,454888.0,405112.0,0.0,0.0,0.3814408658863985,0.0,0
11,Aceh,Sumatra,5.55,95.32,2021-04-01,2021-04,Beras Medium,10894.0,Bapanas monthly consumer price,0.0037777573021284816,10792.5,0.009404679175353259,-0.06023623081217597,860000.0,5600000.0,81.23,454888.0,405112.0,0.004574412599951805,0.012032455936165318,0.373583667639769,0.018734684213151772,0
11,Aceh,Sumatra,5.55,95.32,2021-05-01,2021-05,Beras Medium,10868.0,Bapanas monthly consumer price,-0.0023866348448687846,10697.5,0.01593830334190227,-0.5780622061332343,860000.0,5600000.0,81.23,454888.0,405112.0,0.016215205092092493,0.02080426483502488,0.3678376166350951,0.03026462862702081,0
11,Aceh,Sumatra,5.55,95.32,2021-06-01,2021-06,Beras Medium,10808.0,Bapanas monthly consumer price,-0.005520794994479217,10667.0,0.013218336926970942,-1.8464972491359377,860000.0,5600000.0,81.23,454888.0,405112.0,0.05179603731059841,0.022797209118369077,0.36646052072809127,0.03612274110857262,0
11,Aceh,Sumatra,5.55,95.32,2021-07-01,2021-07,Beras Medium,10863.0,Bapanas monthly consumer price,0.005088823094004491,10729.0,0.012489514400223722,-0.26943508136684935,860000.0,5600000.0,81.23,454888.0,405112.0,0.01144378420489005,0.014904415298683905,0.3716957172476809,0.023887384275988518,0
11,Aceh,Sumatra,5.55,95.32,2021-08-01,2021-08,Beras Medium,10943.0,Bapanas monthly consumer price,0.007364448126668588,10743.5,0.01856936752454974,2.886467351219897,860000.0,5600000.0,81.23,454888.0,405112.0,0.08659176242171461,0.032304697850944,0.36018434171747477,0.05554839034988728,0
11,Aceh,Sumatra,5.55,95.32,2021-09-01,2021-09,Beras Medium,10928.0,Bapanas monthly consumer price,-0.0013707392853878897,10694.5,0.021833652812193183,1.258511089045441,860000.0,5600000.0,81.23,454888.0,405112.0,0.035302455692529745,0.02772385029165352,0.36328334948816243,0.04152155372560029,0
11,Aceh,Sumatra,5.55,95.32,2021-10-01,2021-10,Beras Medium,10910.0,Bapanas monthly consumer price,-0.0016471449487555079,10684.5,0.02110533951050586,0.5309440503988005,860000.0,5600000.0,81.23,454888.0,405112.0,0.014893495160724137,0.023768174159929656,0.3659075055752254,0.034260510696661056,0
